Date,Price,Open,High,Low,Vol,Growth,AVBLS,CPTRA,HRATE,MIREV,MWNTD,MWNUS,MWTRV,TOTBC,Btc_Mined,TRFEE,TRVOU
2021-05-16,46426.4,46729.3,49764.3,43920.8,180070.0,-0.006,1.3717010757575758,190.074887217666,164348929.98192218,41709082.876608536,55503.0,72951528.0,17956.28231187009,18711762.5,818.75,52.09414413000002,536658388.23960006
2021-05-15,46708.8,49839.1,50640.9,46650.2,131910.0,-0.06280000000000001,1.3477717886178866,174.28676174077088,153143321.1195184,41386831.59001042,63973.0,72921238.0,18992.164864149818,18711043.75,718.75,62.457688190000006,573671658.7248
2021-05-14,49839.8,49704.9,51459.2,48874.0,118840.0,0.0027,1.3155430373134331,171.59208744217423,166839065.28467855,45652932.82442766,73640.0,72878672.0,22986.59270903964,18710325.0,718.75,73.24686827,1528100267.3316
2021-05-13,49704.6,49398.2,51337.3,46331.1,236710.0,0.006500000000000001,1.3115552298136637,194.05307774844863,185896531.25400168,53650242.51126909,71870.0,72846153.0,19558.23657536974,18709325.0,1000.0,71.87171985999998,928999961.1596
2021-05-12,49384.2,56694.5,57938.5,49187.0,160740.0,-0.129,1.3712228837209302,214.96262126673844,176209059.88134116,64585949.4848341,82716.0,72807185.0,20526.832539579656,18708468.75,856.25,76.98423673000005,546570032.5
2021-05-11,56695.7,55846.1,56871.1,54550.4,96470.0,0.0152,1.349528220930233,206.99837688061828,176209059.88134116,64607298.40009418,85898.0,72759419.0,33328.80885751998,18707243.75,1225.0,81.79323145000002,903456808.965
2021-05-10,55848.9,58251.2,59523.9,53678.3,142610.0,-0.040999999999999995,1.3744467444444441,234.3315710222004,184404830.10838032,71072062.4963203,80268.0,72724759.0,22554.65294721972,18706243.75,1000.0,101.01711434,534233808.3888
2021-05-09,58238.3,58840.6,59227.0,56414.4,103590.0,-0.0102,1.3608950322580635,288.32273895990414,190551657.77865964,71465404.01503558,64778.0,72668583.0,9825.1881332599,18705093.75,1150.0,70.0288271,523002028.0715
2021-05-08,58840.1,57330.3,59471.1,56972.2,101270.0,0.0262,1.310903526315789,246.38187971563042,175184588.60296133,67678884.92096624,82026.0,72636742.0,19883.274071540123,18703918.75,1175.0,87.22137317000002,622419281.3629
2021-05-07,57337.2,56411.4,58639.3,55300.1,110010.0,0.0165,1.2962967151162783,218.46102303886502,176209059.88134116,71663298.61460015,87350.0,72588106.0,19861.002238929763,18702787.5,1131.25,104.36786384,605987088.7744
2021-05-06,56405.4,57441.0,58364.9,55294.5,109020.0,-0.018000000000000002,1.3617653764705882,214.07709639356915,174160117.32458138,66659326.27502956,83154.0,72544353.0,23978.47365674981,18701800.0,987.5,109.52051484,775797222.5643001
2021-05-05,57441.3,53872.5,57936.4,53872.5,119820.0,0.0688,1.3476442802547772,196.1727749807841,160841990.70564282,61161963.09240894,88036.0,72501462.0,19123.76720560006,18700743.75,1056.25,99.91162799000006,836868262.6416
2021-05-04,53741.5,57170.6,57201.3,53741.5,132330.0,-0.06,1.3364648950276241,226.15940318632684,185429301.38676015,68034176.30412355,83962.0,72441537.0,17992.740786589955,18699668.75,1075.0,99.39665193,571622384.9631
2021-05-03,57169.8,56605.8,58925.1,56562.4,89240.0,0.01,1.4626008474576273,247.432176147388,181331416.27324063,71252796.33298717,82574.0,72397964.0,13839.598494750024,18698593.75,1075.0,110.91693739,286521388.9888
2021-05-02,56603.8,57807.2,57868.4,56110.5,53610.0,-0.0208,1.407752259459459,300.3105491366701,189527186.5002797,70637245.5046327,60272.0,72344287.0,17024.726718430004,18697456.25,1137.5,84.96037570000003,337492054.7
2021-05-01,57807.1,57719.1,58449.4,57029.5,63410.0,0.0015,1.3459564388489211,213.2471632377353,158954589.9843886,56995422.30720247,79970.0,72296975.0,21458.177215659838,18696300.0,1156.25,102.11686869999996,683907404.46
2021-04-30,57720.3,53562.3,57925.6,53088.7,103740.0,0.07769999999999999,1.3887697586206893,202.69750646995644,169978665.11499172,59389761.30317783,84762.0,72243107.0,23928.263069969653,18695525.0,775.0,143.19592537000008,579652972.723
2021-04-29,53560.8,54838.6,55173.7,52400.0,83900.0,-0.023399999999999997,1.3643297377049182,188.26507467980431,143016532.02778608,48848197.60179543,76038.0,72209342.0,26189.69352000998,18694525.0,1000.0,144.83508448,563311741.806
2021-04-28,54841.4,55036.0,56419.9,53876.4,86960.0,-0.0034999999999999996,1.3116247676056327,202.1800233725265,166461865.14709532,56029341.15713478,82158.0,72166244.0,24201.11346991007,18693918.75,606.25,135.93910763999997,509014490.488
2021-04-27,55036.5,54011.1,55427.8,53345.0,84080.0,0.018799999999999997,1.3166573380281692,191.8160446632293,166461865.14709532,57182089.25851064,87372.0,72110435.0,24014.5397402098,18692993.75,925.0,162.30784332000005,848207062.7712
2021-04-26,54020.5,48963.5,54320.9,48815.9,129759.99999999999,0.1033,1.3147731754385967,193.68777357531846,133638398.78006244,47389587.56067316,69993.0,72063678.0,19937.194296189955,18692137.5,856.25,167.75160734,576635611.2210001
2021-04-25,48963.6,50088.2,50532.4,47098.5,59200.0,-0.0225,1.3424513687943267,205.16556465284984,165289598.49112985,49453312.86948758,61919.0,72007338.0,11692.181363450032,18691300.0,837.5,116.28734278999998,458274326.6931
2021-04-24,50088.9,51140.8,51183.0,48775.2,82250.0,-0.0206,1.3262256896551727,185.3442944895792,169978665.11499172,53877732.96517578,67184.0,71969289.0,17873.046434549742,18690406.25,893.75,168.4008953499999,1413848471.2289
2021-04-23,51143.6,51707.1,52099.9,47659.4,214460.0,-0.0113,1.3158200518518512,187.89841067717828,158255998.55533707,55567384.88797259,65302.0,71916191.0,28504.350986639936,18689443.75,962.5,269.6867531700001,1187405699.3865
2021-04-22,51729.5,53821.3,55408.4,50590.9,168130.0,-0.0388,1.2761913496503492,234.12822878627318,167634131.80306083,64293952.90699849,65886.0,71859594.0,27861.98667517021,18688787.5,656.25,299.48661393,629420904.768
2021-04-21,53820.2,56479.5,56764.4,53657.6,100260.0,-0.0471,1.3068625049504947,217.79190346585014,118398932.25251149,49225543.81325493,62788.0,71813518.0,46581.5257221596,18687718.75,1068.75,255.76779687,971129684.1243
2021-04-20,56483.2,55645.1,57054.9,53422.5,115490.0,0.015,1.3298666718750003,219.5758039104947,150050131.96357888,62004693.81146113,65210.0,71761811.0,20908.837041759947,18687087.5,631.25,301.8282274699999,829117286.5497999
