Date,Value
2016-07-17,60.582145482600005
2016-07-16,93.1540589114
2016-07-15,76.3547780853
2016-07-14,86.47388884360001
2016-07-13,39.4733175548
2016-07-12,57.0098951949
2016-07-11,80.8989332947
2016-07-10,62.3646137447
2016-07-09,32.8783690106
2016-07-08,31.7815660083
2016-07-07,24.1977632793
2016-07-06,79.9596643707
2016-07-05,86.2609037757
2016-07-04,47.5069837899
2016-07-03,22.8726686808
2016-07-02,40.5218975141
2016-07-01,40.0972908921
2016-06-30,37.022237576799995
2016-06-29,30.9725560419
2016-06-28,44.4449451828
2016-06-27,31.8575889645
2016-06-26,36.3892223974
2016-06-25,33.6851337854
2016-06-24,15.635975755899999
2016-06-23,18.6652648044
2016-06-22,21.103579046700002
2016-06-21,16.9723617942
2016-06-20,31.5114174135
2016-06-19,44.483880256400006
2016-06-18,41.8332860673
2016-06-17,22.710770646900002
2016-06-16,32.4440964407
2016-06-15,44.1118696193
2016-06-14,27.051999653899998
2016-06-13,22.706285090799998
2016-06-12,23.861463915399998
2016-06-11,85.50995016510001
2016-06-10,68.0655573303
2016-06-09,73.12082043630001
2016-06-08,87.8133746915
2016-06-07,39.5693348977
2016-06-06,58.8065958928
2016-06-05,35.1192917997
2016-06-04,31.664938994699998
2016-06-03,31.0640883842
2016-06-02,84.8357758417
2016-06-01,44.315456993999994
2016-05-31,35.5145436693
2016-05-30,42.5067379488
2016-05-29,45.578734957200005
2016-05-28,42.8920798348
2016-05-27,42.5715256324
2016-05-26,78.1547913025
2016-05-25,92.5229942581
2016-05-24,91.7544836537
2016-05-23,69.8111993177
2016-05-22,131.15831399799998
2016-05-21,97.4445769303
2016-05-20,73.4603777549
2016-05-19,69.0894587519
2016-05-18,104.89560873100001
2016-05-17,72.8734341562
2016-05-16,116.98886717399999
2016-05-15,127.732321925
2016-05-14,151.455827832
2016-05-13,79.6164616092
2016-05-12,101.72527458100001
2016-05-11,62.4253756984
2016-05-10,57.8254667814
2016-05-09,82.54159652979999
2016-05-08,104.27045705
2016-05-07,61.6427025309
2016-05-06,63.168838603699996
2016-05-05,122.24443128799999
2016-05-04,110.181016191
2016-05-03,42.3453882097
2016-05-02,45.2148887013
2016-05-01,108.52284156299999
2016-04-30,75.3109624759
2016-04-29,84.96276640939999
2016-04-28,34.0525438054
2016-04-27,57.9489383683
2016-04-26,54.0427180052
2016-04-25,41.626468072399994
2016-04-24,47.9343148677
2016-04-23,106.65607101399999
2016-04-22,43.47660271229999
2016-04-21,65.9330227919
2016-04-20,39.8206661854
2016-04-19,93.8837872366
2016-04-18,77.9833415076
2016-04-17,123.764947298
2016-04-16,88.7482779296
2016-04-15,66.9394973432
2016-04-14,68.1044969026
2016-04-13,65.6604854229
2016-04-12,65.6168118793
2016-04-11,80.6224373781
2016-04-10,124.207462654
2016-04-09,46.475088004300005
2016-04-08,80.1169512246
2016-04-07,140.028453383
2016-04-06,141.825133453
2016-04-05,83.4970169434
2016-04-04,82.5285125054
2016-04-03,147.764406931
2016-04-02,86.0081467007
2016-04-01,76.770599862
2016-03-31,76.2991198761
2016-03-30,80.3161142144
2016-03-29,49.8372393763
2016-03-28,77.6003614908
2016-03-27,62.9961600683
2016-03-26,159.10108564799998
2016-03-25,126.645511899
2016-03-24,89.8577410366
2016-03-23,60.2733566372
2016-03-22,79.3482243192
2016-03-21,61.6627084308
2016-03-20,79.3383832292
2016-03-19,53.8453188162
2016-03-18,58.313752872200006
2016-03-17,66.0268013561
2016-03-16,61.758206799999996
2016-03-15,62.3740510064
2016-03-14,62.164207506000004
2016-03-13,55.5021696719
2016-03-12,46.3142585959
2016-03-11,56.0281364864
2016-03-10,61.4396427066
2016-03-09,54.497121938
2016-03-08,48.7438466364
2016-03-07,57.76335370020001
2016-03-06,51.9810675167
2016-03-05,27.1998097948
2016-03-04,65.3381266179
2016-03-03,68.3469173253
2016-03-02,92.67451904079999
2016-03-01,81.1869628575
2016-02-29,67.4938535691
2016-02-28,102.67231603100001
2016-02-27,68.21546825520001
2016-02-26,83.0318357728
2016-02-25,64.0025082088
2016-02-24,43.6790983369
2016-02-23,35.184715857600004
2016-02-22,60.368465582700004
2016-02-21,24.0542889289
2016-02-20,40.175410753200005
2016-02-19,54.0394396883
2016-02-18,35.8380909225
2016-02-17,40.8647564078
2016-02-16,45.2218539116
2016-02-15,39.6083897642
2016-02-14,29.842037137800002
2016-02-13,41.851645041
2016-02-12,44.5909918732
2016-02-11,58.978282548500005
2016-02-10,33.9924847121
2016-02-09,36.1675394635
2016-02-08,57.3426070803
2016-02-07,70.3677289239
2016-02-06,50.22453281479999
2016-02-05,39.1676297037
2016-02-04,29.0873360527
