Date,Value
2021-06-13,1.1749237651515152
2021-06-12,1.4897595227272729
2021-06-11,1.401894276190477
2021-06-10,1.3114524237288132
2021-06-09,1.067569261904762
2021-06-08,1.286348818791947
2021-06-07,1.2507247218045112
2021-06-06,0.948718753333333
2021-06-05,1.0839169007633591
2021-06-04,1.2901670152671756
2021-06-03,1.2936538027210884
2021-06-02,1.291096493975903
2021-06-01,1.3656506478873232
2021-05-31,1.4406667730496452
2021-05-30,1.4991831736111114
2021-05-29,1.3227263965517242
2021-05-28,1.343872411764706
2021-05-27,1.262394282051282
2021-05-26,1.3001551639344262
2021-05-25,1.359462617886179
2021-05-24,1.345942547619048
2021-05-23,1.379971949579833
2021-05-22,1.2895503362068967
2021-05-21,1.2896153545454547
2021-05-20,1.3041271875000002
2021-05-19,1.32228564
2021-05-18,1.3321869600000005
2021-05-17,1.3341216280991737
2021-05-16,1.3717010757575758
2021-05-15,1.3477717886178866
2021-05-14,1.3155430373134331
2021-05-13,1.3115552298136637
2021-05-12,1.3712228837209302
2021-05-11,1.349528220930233
2021-05-10,1.374446744444444
2021-05-09,1.3608950322580635
2021-05-08,1.310903526315789
2021-05-07,1.2962967151162783
2021-05-06,1.3617653764705882
2021-05-05,1.3476442802547772
2021-05-04,1.336464895027624
2021-05-03,1.4626008474576273
2021-05-02,1.407752259459459
2021-05-01,1.3459564388489211
2021-04-30,1.3887697586206893
2021-04-29,1.3643297377049182
2021-04-28,1.3116247676056327
2021-04-27,1.3166573380281692
2021-04-26,1.3147731754385967
2021-04-25,1.3424513687943267
2021-04-24,1.3262256896551727
2021-04-23,1.3158200518518512
2021-04-22,1.2761913496503492
2021-04-21,1.3068625049504947
2021-04-20,1.3298666718750003
2021-04-19,1.3054006494845365
2021-04-18,1.2941819596774196
2021-04-17,1.3556591758241758
2021-04-16,1.3172985533980583
2021-04-15,1.3172522732558145
2021-04-14,1.2884584814814817
2021-04-13,1.337717894366197
2021-04-12,1.345640743055556
2021-04-11,1.3770414137931035
2021-04-10,1.3513014267515928
2021-04-09,1.3286036842105262
2021-04-08,1.3142138507462682
2021-04-07,1.3041266496815291
2021-04-06,1.3430273680555558
2021-04-05,1.4087214102564114
2021-04-04,1.3700521849315066
2021-04-03,1.3121621603053435
2021-04-02,1.314276628571429
2021-04-01,1.3365909241379308
2021-03-31,1.3453399490445856
2021-03-30,1.31233240410959
