,Date,Value
0,2018-10-22,0
1,2020-01-10,-1
2,2020-05-01,1
3,2020-05-15,1
4,2020-11-16,0
5,2020-12-20,1
6,2021-02-19,2
7,2021-03-12,-1
8,2021-03-24,2
9,2021-04-26,0
10,2021-05-12,0
11,2021-05-16,2
12,2021-05-17,0
13,2021-05-20,-1
14,2021-05-24,1
15,2021-06-04,0
16,2021-06-05,1
17,2021-06-13,1
