,Date,Value
0,2017-11-09,1
1,2018-01-18,0
2,2018-01-22,0
3,2018-02-08,1
4,2018-02-13,1
5,2018-03-13,0
6,2018-11-15,1
7,2018-12-06,1
8,2018-12-27,1
9,2019-03-12,1
10,2019-05-29,1
11,2019-07-09,0
12,2019-08-08,1
13,2019-12-30,1
14,2021-05-11,0
