username,date,tweet
bnymellon,2015-11-12,Are #bitcoin &amp; other #digital currencies a fad? Learn why they're more than just hype:  https://t.co/70B5ey4piN #fintech
bnymellon,2015-05-07,#Bitcoin isn’t the only #digitalcurrency. See what the future of money may hold:  http://t.co/89pV0i5zHM |@WIRED  http://t.co/lHy0X2NFjt
bnymellon,2015-03-26,#Bitcoin isn’t the only #digitalcurrency. What may the future of money hold?  http://t.co/89pV0i5zHM |@WIREDInsider  http://t.co/7mNXtBKCQv
