username,date,tweet
raj_dhamodharan,2016-05-02,Bitcoin inventor goes public....   https://t.co/lQ7cjq9gFM
raj_dhamodharan,2014-02-27,Yellen on Bitcoin: Fed Doesn’t Have Authority to Regulate It in Any Way - WSJ  http://t.co/WWnPGqHPdx
raj_dhamodharan,2012-10-18,Why Bitcoin is a Prime Target for Hackers : ScanMySite  http://t.co/qI6OJvmd
