Date,Value
2012-07-13,14.0175096285275
2012-07-12,14.0175096285
2012-07-11,13.146856856600001
2012-07-10,13.1468568565692
2012-07-09,13.146856856600001
2012-07-08,14.3657707373
2012-07-07,14.8010971232899
2012-07-06,14.8010971233
2012-07-05,13.320987410999999
2012-07-04,13.843379074135802
2012-07-03,13.843379074100001
2012-07-02,12.4450729327
2012-07-01,11.844276308359401
2012-06-30,11.8442763084
2012-06-29,12.1875886651
2012-06-28,11.5867920407863
2012-06-27,11.586792040799999
2012-06-26,13.904150448900001
2012-06-25,13.1316976462245
2012-06-24,13.1316976462
2012-06-23,12.0159324867
2012-06-22,12.101760575932401
2012-06-21,12.101760575899998
2012-06-20,10.4710268813
2012-06-19,14.3234359755939
2012-06-18,14.323435975599999
2012-06-17,12.355931033900001
2012-06-16,12.5920316268957
2012-06-15,12.5920316269
2012-06-14,12.5133314292
2012-06-13,12.7494320222319
2012-06-12,12.7494320222
2012-06-11,11.018027673499999
2012-06-10,13.379033603576698
2012-06-09,13.379033603599998
2012-06-08,13.1429330106
2012-06-07,9.96568843465216
2012-06-06,9.96568843465
2012-06-05,13.3666773449
2012-06-04,11.943007568511698
2012-06-03,11.943007568499999
2012-06-02,12.496656925999998
2012-06-01,11.943007568511698
2012-05-31,11.943007568499999
2012-05-30,11.5475437417
2012-05-29,10.756616088196001
2012-05-28,10.7566160882
2012-05-27,10.9148016189
2012-05-26,10.6775233228416
2012-05-25,10.677523322799999
2012-05-24,9.17476078111
2012-05-23,10.4251437533379
2012-05-22,10.4251437533
2012-05-21,10.080510902
2012-05-20,12.234466222925501
2012-05-19,12.2344662229
2012-05-18,12.5790990743
2012-05-17,10.1666691148254
2012-05-16,10.1666691148
2012-05-15,9.6497198378
2012-05-14,12.320624435763
2012-05-13,12.3206244358
2012-05-12,11.3728840946
2012-05-11,10.5974601790129
2012-05-10,10.597460179
2012-05-09,12.406782648599998
2012-05-08,13.948586280698098
2012-05-07,13.948586280699999
2012-05-06,12.8237002903
2012-05-05,11.6988142999403
2012-05-04,11.6988142999
2012-05-03,11.6238219006
2012-05-02,11.5488295012231
2012-05-01,11.548829501199998
2012-04-30,13.423639485199999
2012-04-29,12.4487382935262
2012-04-28,12.448738293499998
2012-04-27,11.6988142999
2012-04-26,12.079529743083699
2012-04-25,12.0795297431
2012-04-24,10.8245136659
2012-04-23,11.6088987141324
2012-04-22,11.6088987141
2012-04-21,11.687337219000002
2012-04-20,12.157968247908899
2012-04-19,12.1579682479
2012-04-18,12.2364067527
2012-04-17,11.1382676851811
2012-04-16,11.1382676852
2012-04-15,10.4323211418
2012-04-14,10.4323211417541
2012-04-13,10.4323211418
2012-04-12,9.88325160798
2012-04-11,11.562466933714099
2012-04-10,11.5624669337
2012-04-09,11.5624669337
2012-04-08,11.8050361700857
2012-04-07,11.8050361701
2012-04-06,10.673046400399999
2012-04-05,9.62191304274106
2012-04-04,9.62191304274
2012-04-03,11.400754109500001
2012-04-02,10.2687643397321
2012-04-01,10.2687643397
2012-03-31,12.128461818599998
2012-03-30,12.128461818581199
2012-03-29,12.128461818599998
2012-03-28,11.239041285199999
2012-03-27,11.023131280504101
2012-03-26,11.0231312805
2012-03-25,11.3210537475
2012-03-24,12.810666082748
2012-03-23,12.8106660827
2012-03-22,9.68248017882
2012-03-21,12.065859915146401
2012-03-20,12.0658599151
2012-03-19,11.0231312805
2012-03-18,11.6189762145854
2012-03-17,11.6189762146
2012-03-16,12.8106660827
2012-03-15,9.59956203691717
2012-03-14,9.599562036919998
2012-03-13,10.269298923200001
2012-03-12,12.576170420457402
2012-03-11,12.576170420499999
2012-03-10,9.89722287527
2012-03-09,12.3529247916919
2012-03-08,12.352924791700001
2012-03-07,11.608772695799999
2012-03-06,11.013451019098802
2012-03-05,11.013451019100001
2012-03-04,9.822807665680001
2012-03-03,8.85540994103212
2012-03-02,8.85540994103
2012-03-01,9.89722287527
2012-02-29,12.725442370101499
2012-02-28,12.7254423701
2012-02-27,10.2624535243
2012-02-26,10.399286237932401
2012-02-25,10.3992862379
2012-02-24,11.4255315904
2012-02-23,11.493947947188499
2012-02-22,11.4939479472
2012-02-21,10.7413680221
2012-02-20,9.9887880969614
2012-02-19,9.98878809696
2012-02-18,10.7413680221
2012-02-17,9.738735759998221
2012-02-16,9.73873576
2012-02-15,8.84716135944
2012-02-14,9.3272398828152
2012-02-13,9.327239882819999
2012-02-12,10.081648991
2012-02-11,9.464405175209539
2012-02-10,9.46440517521
2012-02-09,10.081648991
2012-02-08,9.05290929802652
2012-02-07,9.05290929803
2012-02-06,9.8073184062
2012-02-05,9.3272398828152
2012-02-04,9.327239882819999
2012-02-03,11.2475539763
2012-02-02,10.5962272934945
2012-02-01,10.5962272935
2012-01-31,8.77601647007
2012-01-30,10.791249881718302
2012-01-29,10.7912498817
2012-01-28,10.5962272935
2012-01-27,9.0360465877039
2012-01-26,9.0360465877
2012-01-25,8.450978823029999
2012-01-24,8.77601647007213
2012-01-23,8.77601647007
2012-01-22,11.116287528800001
2012-01-21,11.1294152984634
2012-01-20,11.1294152985
2012-01-19,8.58021961558
2012-01-18,8.828921633417881
2012-01-17,8.82892163342
2012-01-16,9.823729704789999
2012-01-15,9.20197466018202
2012-01-14,9.20197466018
2012-01-13,9.94808071371
2012-01-12,10.3211337404744
2012-01-11,10.321133740499999
2012-01-10,9.450676678019999
2012-01-09,10.010256218171001
2012-01-08,10.0102562182
2012-01-07,9.2833256974
2012-01-06,9.80226936992543
2012-01-05,9.80226936993
2012-01-04,8.47607998458
2012-01-03,9.34098610545835
2012-01-02,9.34098610546
2012-01-01,8.76438202487
2011-12-31,9.28332569739997
2011-12-30,9.2833256974
2011-12-29,7.380532231469999
2011-12-28,8.64906120875774
2011-12-27,8.649061208760001
2011-12-26,9.16800488128
2011-12-25,9.99060446041702
2011-12-24,9.99060446042
2011-12-23,7.579079245830001
2011-12-22,7.92358284791695
2011-12-21,7.92358284792
2011-12-20,8.89967638715
2011-12-19,8.67000731909753
2011-12-18,8.6700073191
2011-12-17,8.44033825104
2011-12-16,7.11974110972247
2011-12-15,7.11974110972
2011-12-14,7.062323842710001
2011-12-13,7.406827444791929
2011-12-12,7.406827444789999
2011-12-11,7.26544925298
2011-12-10,8.5125039755043
2011-12-09,8.5125039755
2011-12-08,8.18718535224
2011-12-07,7.97030627005816
2011-12-06,7.97030627006
2011-12-05,8.62094351659
2011-12-04,7.42810856461203
2011-12-03,7.4281085646100005
2011-12-02,8.13296558169
2011-12-01,10.030657550753501
2011-11-30,10.0306575508
2011-11-29,7.916086499510001
2011-11-28,7.35064370151966
2011-11-27,7.350643701519999
2011-11-26,6.75784985462
2011-11-25,7.70632000965771
2011-11-24,7.706320009660001
2011-11-23,6.639291085240001
2011-11-22,8.00271693310608
2011-11-21,8.002716933110001
2011-11-20,8.002716933110001
2011-11-19,7.647040624968031
2011-11-18,7.64704062497
2011-11-17,7.76559939435
2011-11-16,7.88415816372673
2011-11-15,7.8841581637300004
2011-11-14,10.2553335513
2011-11-13,8.79418927685321
2011-11-12,8.79418927685
2011-11-11,8.07629627466
2011-11-10,8.67454044315452
2011-11-09,8.67454044315
2011-11-08,10.1103264475
2011-11-07,7.83699860726374
2011-11-06,7.836998607260001
2011-11-05,8.8540136937
2011-11-04,8.55489160945584
2011-11-03,8.55489160946
2011-11-02,7.59770093987
2011-11-01,8.73436486000387
